
DATE: 13-07-2016 03:26:45; USER: root; ** ENTER: home.php 
DATE: 13-07-2016 03:32:12; USER: root; ** E' STATO INSERITO UN NUOVO UTENTE: username :   

DATE: 13-07-2016 03:33:02; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 03:33:48; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 13-07-2016 03:42:00; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 13-07-2016 03:42:00; USER: root; ** E' STATO INSERITO UN NUOVO PAZIENTE: id = 1 

DATE: 13-07-2016 03:42:08; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 03:42:24; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 13-07-2016 03:42:33; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 13-07-2016 03:47:39; USER: root; ** SONO STATI MODIFICATI I DATI ANAGRAFICI DI UN PAZIENTE (ID = 1)

DATE: 13-07-2016 03:50:53; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 13-07-2016 03:51:52; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 13-07-2016 03:54:07; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 13-07-2016 03:54:46; USER: root; ** E' STATO INSERITO UN NUOVO ESAME TC PER IL PAZIENTE (ID = 1) CHE HA COME DATA 01/12/2016

DATE: 13-07-2016 03:54:54; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 13-07-2016 03:55:05; USER: root; ** SONO STATI MODIFICATI I DATI DELL'ESAME TC (ID = 1) DI UN PAZIENTE (ID = )

DATE: 13-07-2016 03:56:41; USER: root; ** E' STATO INSERITO UN NUOVO INTERVENTO PER IL PAZIENTE (ID = 1) CHE HA COME DATA 13/07/2016 

DATE: 13-07-2016 03:56:45; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 13-07-2016 03:57:29; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 13-07-2016 04:01:18; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:01:37; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:01:40; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:01:48; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:01:49; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:01:49; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:06:21; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:06:30; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:06:40; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:06:47; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:13:41; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 04:13:44; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 13-07-2016 04:14:15; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 04:14:26; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 13-07-2016 04:14:29; USER: root; ** USO DEL TUMORS ENGINE: 

DATE: 13-07-2016 04:35:49; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 13-07-2016 04:35:58; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: esame_tc

DATE: 13-07-2016 04:36:08; USER: root; ** SONO STATE VISUALIZZATE DELLE STATISTICHE PER LA TABELLA: esame_tc

DATE: 13-07-2016 06:57:27; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 06:57:30; USER: root; ** ENTER: home.php 

DATE: 13-07-2016 06:57:31; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 13-07-2016 06:57:33; USER: root; ** ACCESSO AL MENU' DI AMMINISTRAZIONE 

DATE: 13-07-2016 06:57:51; USER: root; ** E' STATA VISUALIZZATA UNA RICERCA 

DATE: 13-07-2016 06:57:54; USER: root; ** E' STATO VISUALIZZATO IL SEGUENTE PAZIENTE: id = 1 

DATE: 13-07-2016 06:58:13; USER: root; ** PAGINA NEW PATIENT: new_patient.php 

DATE: 13-07-2016 06:58:20; USER: root; ** ENTER: home.php 
